District, Township ,Township Pcode,"internally displaced
people (IDP) -PiN","IDPs: returnees/resettled/
locally integrated -PiN","non-displaced stateless
people in Rakhine -PiN","Mostly vulnerable
crisis-affected people -PiN",Total PiN,Non-IDP,Female %,Children (Age <18) %,Adults (Age 18 -60) %,Elderly (Age 60+) %,People with disabilities %,"internally displaced
people (IDP) -target","IDPs: returnees/resettled/
locally integrated -target","non-displaced stateless
people in Rakhine -target","Mostly vulnerable
crisis-affected people -target",Total target,IDP Target > Total Target,Female % ,Children (Age <18) % ,Adults (Age 18 -60) % ,Elderly (Age 60+) % ,"Mostly vulnerable
crisis-affected people -target2",%IDP,%Returnees,%Rakhine Stateless,%Other Vulnerable,%Target,SO1 Target,SO2 Target,SO3 Target,IDP_SO1,Returnees_SO1,Rakhine Stateless_SO1,Other Vulnerable_SO1,IDP_SO2,Returnees_SO2,Rakhine Stateless_SO2,Other Vulnerable_SO2,IDP_SO3,Returnees_SO3,Rakhine Stateless_SO3,Other Vulnerable_SO3
Mindat,Kanpetlet,MMR004008,1202,0,0,12258.95971,13460.95971,12258.95971,52,36,54,11,13,1202,,,,5000,Not,52,36,54,11,13,,0,0,100,0.001219512,678.0487805,3590.243902,1036.585366,0,0,0,678.0487805,0,0,0,3590.243902,0,0,0,1036.585366
Mindat,Mindat,MMR004006,4820,0,0,22937.58303,27757.58303,22937.58303,52,36,54,11,13,4820,,,,20000,Not,52,36,54,11,13,,0,0,100,0.004878049,2712.195122,14360.97561,4146.341463,0,0,0,2712.195122,0,0,0,14360.97561,0,0,0,4146.341463
Bhamo,Bhamo,MMR001010,9577,1078.568957,0,36846.37172,47501.94068,37924.94068,52,36,54,11,13,9577,,,,11875,Not,52,36,54,11,13,,2.843956873,0,97.15604313,0.002896341,1610.365854,8526.829268,2461.890244,0,45.79811038,0,1564.567743,0,242.499347,0,8284.329921,0,70.0150968,0,2391.875147
Bhamo,Mansi,MMR001013,14244,0,0,12023.38159,26267.38159,12023.38159,52,36,54,11,13,14244,,,,6567,Yes,52,36,54,11,13,,15.79269914,0,84.20730086,0.001601707,890.5492683,4715.426341,1361.45122,0,140.6417667,0,749.9075016,0,744.6930955,0,3970.733246,0,215.0098951,0,1146.441324
Bhamo,Momauk,MMR001012,25099,1232.948351,0,10912.9863,37244.93466,12145.93466,52,36,54,11,13,25099,,,,9311,Yes,52,36,54,11,13,,10.15111958,0,89.84888042,0.002270976,1262.662439,6685.752195,1930.329268,0,128.1743741,0,1134.488065,0,678.6787001,0,6007.073495,0,195.9500323,0,1734.379236
Bhamo,Shwegu,MMR001011,3129,4324.974537,0,23060.93649,30514.91103,27385.91103,52,36,54,11,13,3129,,,,7629,Not,52,36,54,11,13,,0,0,100,0.001860732,1034.566829,5477.994146,1581.621951,0,0,0,1034.566829,0,0,0,5477.994146,0,0,0,1581.621951
Mohnyin,Hpakant,MMR001009,4359,100.280718,0,97466.93004,101926.2108,97567.21076,52,36,54,11,13,4359,,,,25482,Not,52,36,54,11,13,,0.16367521,0,99.83632479,0.006215122,3455.607805,18297.31902,5282.853659,0,5.655973326,0,3449.951832,0,29.94817531,0,18267.37085,0,8.646721811,0,5274.206937
Mohnyin,Mogaung,MMR001008,1632,105.4421004,0,38928.30348,40665.74558,39033.74558,52,36,54,11,13,1632,,,,10166,Not,52,36,54,11,13,,0.270130624,0,99.72986938,0.002479512,1378.60878,7299.683902,2107.585366,0,3.724044499,0,1374.884736,0,19.71868166,0,7279.965221,0,5.693233496,0,2101.892132
Mohnyin,Mohnyin,MMR001007,392,101.7702311,0,62076.38809,62570.15832,62178.15832,52,36,54,11,13,392,,,,15643,Not,52,36,54,11,13,,0.102781167,0,99.89721883,0.003815366,2121.343415,11232.43707,3243.060976,0,2.180341521,0,2119.163073,0,11.54482993,0,11220.89224,0,3.333255923,0,3239.72772
Myitkyina,Chipwi,MMR001005,2719,107.8867269,0,5142.916857,7969.803584,5250.803584,52,36,54,11,13,2719,,,,1992,Yes,52,36,54,11,13,,10.90640562,0,89.09359438,0.000485854,270.1346341,1430.353171,412.9756098,0,29.46197891,0,240.6726552,0,156.0001185,0,1274.353052,0,45.04079509,0,367.9348147
Myitkyina,Injangyang,MMR001003,566,38.43637276,0,328.6781097,933.1144825,367.1144825,52,36,54,11,13,566,,,,233,Yes,52,36,54,11,13,,63.34648634,0,36.65351366,5.68293E-05,31.59707317,167.3053659,48.30487805,0,20.01563564,0,11.58143753,0,105.9820707,0,61.32329512,0,30.59944298,0,17.70543507
Myitkyina,Myitkyina,MMR001001,11726,57924.03051,0,33515.97485,103166.0054,91440.00536,52,36,54,11,13,11726,,,,25792,Not,52,36,54,11,13,,2.054670779,0,97.94532922,0.006290732,3497.646829,18519.91415,5347.121951,0,71.86512737,0,3425.781702,0,380.5232643,0,18139.39088,0,109.8657523,0,5237.256199
Myitkyina,Tanai,MMR001004,1257,187.9001442,0,17343.14788,18788.04803,17531.04803,52,36,54,11,13,1257,,,,4697,Not,52,36,54,11,13,,1.071813527,0,98.92818647,0.00114561,636.9590244,3372.675122,973.7682927,0,6.827012986,0,630.1320114,0,36.14878818,0,3336.526334,0,10.43698028,0,963.3313124
Myitkyina,Tsawlaw,MMR001006,0,211.5426743,0,1728.075947,1939.618622,1939.618622,52,36,54,11,13,0,,,,0,Not,52,36,54,11,13,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myitkyina,Waingmaw,MMR001002,26801,0,0,30337.37093,57138.37093,30337.37093,52,36,54,11,13,26801,,,,14285,Yes,52,36,54,11,13,,10.46986011,0,89.53013989,0.003484146,1937.185366,10257.32683,2961.52439,0,202.8205979,0,1734.364768,0,1073.92777,0,9183.399059,0,310.0674608,0,2651.456929
Puta-O,Khaunglanhpu,MMR001018,0,45.66848183,0,3422.612438,3468.28092,3468.28092,52,36,54,11,13,0,,,,867,Not,52,36,54,11,13,,0,0,100,0.000211463,117.5736585,622.5482927,179.7439024,0,0,0,117.5736585,0,0,0,622.5482927,0,0,0,179.7439024
Puta-O,Machanbaw,MMR001016,0,0,0,2635.953015,2635.953015,2635.953015,52,36,54,11,13,0,,,,659,Not,52,36,54,11,13,,0,0,100,0.000160732,89.36682927,473.1941463,136.6219512,0,0,0,89.36682927,0,0,0,473.1941463,0,0,0,136.6219512
